id,title,abstract,year
1557,Finite Element Modeling and Analysis of Orthotropic Butt Welds,"Butt welds with orthotropic behavior are widely applied in mechanical and structural designs. Since welds cannot always be perfect in practice, it is important to understand the weld’s stress behavior under different imperfect geometries. In this paper research has been performed to investigate the relationship between stress intensity factors and change of geometry of orthotropic butt welds. Finite element methods were applied to simulate weld geometries. The simulation was performed using ANSYS software assuming two beams are welded together with a discontinuity at the bottom of the weld. The combined beams and the butt weld are then considered to be one piece of glued structure. The discontinuity in the structure is used to model a crack and lack of weld penetration. By changing three important factors of the weld geometry under uniform axial static loads, the trend of stress intensity factor behavior versus change of geometry has been investigated. Both single and double sided butt welds were considered in this paper. The results of this investigation will be a helpful tool for design engineers in deciding the best weld geometry in applications.",2010
1558,Theoretical and Experimental Characterization of the 34.6 2D Lattice Material,"In this paper, the effective mechanical properties of the 34 .6 lattice material are characterized theoretically and experimentally. The characterized properties include the stiffness and the strength of the material. A detailed description of the design procedure of the test specimens is presented. Three quasi-static tests are performed, namely, uniaxial tension, uniaxial compression and pure shear. The comparison of the experimental data to the theoretical results shows that the former are in good agreement with the latter. The maximum error obtained of 13% is acceptable according to the literature on experimental studies of cellular solids.",2010
1559,A Viscoelastic Based Mechanism for Improving Spring-In Angle Predictions in Compression Molded Thermoplastic Matrix Composites,"In this paper, dimensional distortion during the compression molding of thermoplastic matrix composites, typically described as spring-in or spring forward, is investigated through a finite element model. Spring-in is the reduction of the enclosed angle of two surfaces on the final component shape with respect to the original mold shape. Spring-in of thermoplastic matrix composites has typically been attributed to the difference in the thermal expansion of in-plane and through thickness directions of the composite. However, using this mechanism alone during modeling has not shown complete agreement with the experimental data. A new meso-level mechanism based on the viscoelasticity effect of the thermoplastic matrix is proposed. With this mechanism, the predicted spring-in angle can be in good agreement with experiments.",2010
1560,The Effect of Carbon Nanotubes on the Natural Frequencies of Microcantilever Beams,"In this study, the natural frequencies and mode shapes of carbon nanotube (CNT) reinforced polymer composite microcantilever beams are investigated by means of a micromechanical model and the three-dimensional finite element analysis. Microcantilever beams are made of Poly vinyl chloride (PVC) and reinforced with multi-wall carbon nanotubes (MWCNTs). MWCNTs can be distributed along the length/width/thickness of the nanocomposite beam. To validate the accuracy and effectiveness of the model, a direct comparison of results is made with an analytical solution for a test case. Next, various material types of the nanocomposite microcantilever beam are introduced and the effect of different distribution patterns and the weight-percents (wt%) of MWCNTs on the first six natural frequencies and mode shapes is found.",2010
1561,Experimental Damage Characterization of Hexagonal Honeycombs Subjected to In-Plane Shear Loading,"Experimental study on the damage of hexagonal honeycombs under in–plane shear loading does not appear to be available in the literature. In this paper, shear damage behaviors of five different hexagonal mesostructures are investigated with rapid prototyped polycarbonate (PC) honeycomb coupon samples and proper design of a fixture for shear loading. Effective shear stress-strain curves of PC honeycomb coupons are generated for each shear test and the corresponding local cell wall failure is investigated. Two different failure modes of PC honeycombs were observed primarily depending on the cell wall thickness: The PC honeycombs having a lower cell wall thickness induce the plastic post buckling, resulting in preventing propagation of initial cracks through the cell wall end up with higher plastic load bearing. On the other hand, the failure mode of the honeycombs having a high cell wall thickness is the cell wall fracture by crack propagation through wall without severe buckling.",2010
1562,Design of Chiral Honeycomb Meso-Structures for High Shear Flexure,Chiral honeycombs are auxetic cellular structures that exhibits negative Poison’s ratio. Chiral honeycombs are structures arranged in an array of cylinders connected by ligaments. Four different configurations of these geometries with 4- and 6- ligaments attached are investigated for its use in shear layer of non-pneumatic wheel. The objective of the study is to find an ideal geometry for the shear layer while meeting its requirements of shear properties (about 6.5 MPa effective shear modulus and 0.15 maximum effective shear strain) with polycarbonate as base material. Finite Element (FE) based numerical tests are carried out and optimum chiral meso-structures are found for the target shear properties. Parametric studies on geometries are also conducted to find the effect of geometries on the target properties. The effect of cell wall thickness is studied and the optimum thickness is suggested to meet the target requirements. Effect of direction of shear loading has been studied on each different configuration in order to minimize the effect of direction of loading.,2010
1563,A Study of the Effect of Geometry Changes on the Structural Stiffness of a Composite D-Spar,"The paper examines the impact of varying two geometric cross-section parameters of an advance composite D-spar on its structural stiffness. For a given blade topology, the orientation of the D-spar web with respect to the beam axis and the distance of the D-spar web from the leading edge of the blade have been selected here as the variables of study, as they govern the elastic properties of the composite cross-section. A code has been developed to calculate the matrix terms of the Euler-Bernoulli cross-sectional stiffness utilizing the closed form expressions of the structural properties formulated by assuming both Thin-Walled composite Beam theory (TWB) and Classical Laminate Theory. The code has been validated through the Variational Asymptotic Beam Sectional analysis (VABS) for the cross-sectional stiffness matrix. Two cases have been studied for a quasi-isotropic laminate D-spar. The first is for a symmetric airfoil, whereas the second is for an unsymmetrical airfoil. The variation of the stiffness parameters for the quasi-isotropic D-spar including the coupling parameters has been visualized into parametric maps. The paper also examines the impact that these geometric variables have on the stiffness-to-mass ratio to show that along with the ply orientations they play a major role in the aeroelastic tailoring and structural optimization of a composite blade.",2010
1564,Low-Velocity Impact Behavior of Aluminum-Fiber/Epoxy Laminates: A Comprehensive Experimental Study,"Considering many potential applications of fiber reinforced metal laminates (FMLs) in sensitive structures, it is necessary to understand their mechanical behavior under impact loads. In this study, low velocity impact tests based on ASTM D7136 have been conducted on FMLs made of 1050 aluminum sheets and various types of fiber reinforced polymer (FRP) layers; namely E-Glass, Kevlar 49, and carbon T300 plain woven in the epoxy resin. Projectile energy, fiber type and the number of successive impacts are selected among important parameters that can affect the performance of FMLs. In particular, the effects of these parameters on the absorbed energy, contact force, front and rear face damage areas, central deflection and permanent deformation of FMLs have been investigated. For determining the damage area and central deflection of the specimens, an image processing method is adapted.",2010
1565,Safety of Spur Gear Design Under Non-Ideal Conditions With Uncertainty,"The current practice of gear design is based on the Lewis bending and Hertzian contact models. The former provides the maximum stress on the gear base, while the latter calculates the contact pressure at the contact point between the gear and pinion. Both calculations are obtained at the reference configuration with ideal conditions; i.e., no tolerances and clearances. The first purpose of this paper is to compare these two analytical models with the numerical results, in particular, using finite element analysis. It turns out that the estimations from the two analytical equations are closely matched with those of the numerical analysis. The numerical analysis also yields the variation of contact pressures and bending stresses according to the change in the relative position between gear and pinion. It has been shown that both the maximum bending stress and contact pressure occur at non-reference configurations, which should be considered in the calculation of a safety factor. In reality, the pinion-gear assembly is under the tolerance of each part and clearance between the parts. The second purpose of this report is to estimate the effect of these uncertain parameters on the maximum bending stress and contact pressure. For the case of the selected gear-pinion assembly, it turns out that due to a 0.57% increase of clearance, the maximum bending stress is increased by 4.4%. Due to a 0.57% increase of clearance, the maximum contact pressure is increased by 17.9%.",2010
1566,Subfunctions as Parts of Functions: Some Formal Problems,"In this paper a proof is presented that shows that the relation between technical functions and their subfunctions in functional descriptions of products can formally not be taken as a relation of parthood. Technical functions of two specific classes are modelled as well as their composition. In this modelling functions are taken as transformations of tokens of flows of energy, material and signals, which makes them proper instances of functions on many engineering accounts of functions. Then it is proved that the relations between the considered functions and their subfunctions do not in general meet the basic postulates of mereology, the theory of parthood relations. The ramification of this proof is that in engineering ontologies the relation between subfunctions and functions should not be described as a formal parthood relation.",2010
